,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
ITGA8,-0.00029253456,9.0,-0.00029253456,-0.03438761,-1.0174502
ITGA9,-0.00053367513,9.0,-0.00053367513,-0.041407853,-1.0203079
UGCG,0.002164143,1.0,0.002164143,0.037132807,0.10345427
ATP2A1,-0.010444682,14.0,-0.010444682,-0.32994363,-1.8201317
ATP2A2,0.0026934068,14.0,0.0026934068,0.05254109,-1.6644331
ATP2A3,-0.05734705,14.0,-0.05734705,-1.6953965,-2.3759677
ITGA1,0.006092581,9.0,0.006092581,0.1515001,-0.9417807
ITGA2,0.013799775,14.0,0.013799775,0.37587705,-1.5328126
ITGA3,-0.0001943898,11.0,-0.0001943898,-0.031530354,-1.2892348
ITGA4,-0.16508448,14.0,-0.16508448,-4.83192,-3.6527553
ITGA5,0.02616837,18.0,0.02616837,0.73595977,-1.9321288
ITGA6,0.012970435,13.0,0.012970435,0.35173276,-1.4061671
ITGA7,0.0039771874,8.0,0.0039771874,0.089915365,-0.8303763
TRHR,0.0014141384,2.0,0.0014141384,0.015298181,-0.041907802
UFSP1,0.0,0.0,0.0,-0.02587115,0.21428101
UFSP2,0.0,0.0,0.0,-0.02587115,0.21428101
GAP43,0.0,0.0,0.0,-0.02587115,0.21428101
FBXL13,0.0,0.0,0.0,-0.02587115,0.21428101
FBXL12,0.0,0.0,0.0,-0.02587115,0.21428101
FBXL15,0.0,0.0,0.0,-0.02587115,0.21428101
FBXL14,0.0,0.0,0.0,-0.02587115,0.21428101
FBXL17,0.0,0.0,0.0,-0.02587115,0.21428101
FBXL16,0.0,0.0,0.0,-0.02587115,0.21428101
FAM169A,0.0,0.0,0.0,-0.02587115,0.21428101
FAM169B,0.0,0.0,0.0,-0.02587115,0.21428101
SDK1,0.0,0.0,0.0,-0.02587115,0.21428101
SDK2,0.0,0.0,0.0,-0.02587115,0.21428101
GRP,0.006591115,1.0,0.006591115,0.16601376,0.15591797
THSD4,0.0,1.0,0.0,-0.02587115,0.07780718
THSD1,0.0,0.0,0.0,-0.02587115,0.21428101
CHST9,4.5872507e-06,1.0,4.5872507e-06,-0.025737604,0.07786155
CHST8,-0.00042640534,1.0,-0.00042640534,-0.038284946,0.072753884
HMGB3P1,0.0,0.0,0.0,-0.02587115,0.21428101
CHST1,0.0,1.0,0.0,-0.02587115,0.07780718
CHST3,-2.2416728e-07,1.0,-2.2416728e-07,-0.025877677,0.07780452
CHST2,0.0,1.0,0.0,-0.02587115,0.07780718
CHST5,0.0,0.0,0.0,-0.02587115,0.21428101
CHST4,0.0,1.0,0.0,-0.02587115,0.07780718
CHST7,1.6282723e-06,1.0,1.6282723e-06,-0.025823746,0.07782648
CHST6,0.0,1.0,0.0,-0.02587115,0.07780718
ITGAX,-0.00027990915,3.0,-0.00027990915,-0.03402005,-0.19845767
BCL2A1,6.1065075e-05,4.0,6.1065075e-05,-0.024093384,-0.33089066
ITGAV,-0.002616574,16.0,-0.002616574,-0.10204659,-2.0003092
CAMK1,0.0002127228,4.0,0.0002127228,-0.019678224,-0.32909337
ITGAL,-0.00054371945,11.0,-0.00054371945,-0.04170027,-1.2933747
ITGAM,-0.0242575,15.0,-0.0242575,-0.7320716,-2.1203
ITGAD,-0.001216957,1.0,-0.001216957,-0.061300006,0.06338513
COPRS,0.0,0.0,0.0,-0.02587115,0.21428101
AFTPH,0.0,0.0,0.0,-0.02587115,0.21428101
CAMK4,-0.002350313,13.0,-0.002350313,-0.09429502,-1.5877321
IGF2R,-0.015490239,3.0,-0.015490239,-0.47683322,-0.37871403
SLC36A4,6.213696e-05,1.0,6.213696e-05,-0.024062177,0.07854356
SLC36A3,0.00010851364,1.0,0.00010851364,-0.02271203,0.07909317
SLC36A2,-0.00018632262,1.0,-0.00018632262,-0.0312955,0.07559909
SLC36A1,0.00022508428,1.0,0.00022508428,-0.019318348,0.08047464
ZC3H15,0.0,0.0,0.0,-0.02587115,0.21428101
ARTN,0.0,0.0,0.0,-0.02587115,0.21428101
ART1,0.0,0.0,0.0,-0.02587115,0.21428101
ART3,0.0,0.0,0.0,-0.02587115,0.21428101
ART5,0.0,0.0,0.0,-0.02587115,0.21428101
ART4,0.0,0.0,0.0,-0.02587115,0.21428101
HMGCLL1,1.8118722e-06,2.0,1.8118722e-06,-0.025818402,-0.058645174
MGC57346,0.0,0.0,0.0,-0.02587115,0.21428101
RFPL1,0.0,0.0,0.0,-0.02587115,0.21428101
CRTAM,0.0,0.0,0.0,-0.02587115,0.21428101
