,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
UFSP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
UFSP1,promoter,0.0,0.0,0.0,0.0,0.0
PHLDA3,mut_important,0.0,0.0,0.0,0.0,0.0
PHLDA3,cnv_del,0.0,0.0,0.0,0.0,0.0
PHLDA3,cnv_amp,0.0,0.0,0.0,0.0,0.0
PHLDA3,promoter,0.0,0.0,0.0,0.0,0.0
UFSP2,mut_important,0.0,0.0,0.0,0.0,0.0
UFSP2,cnv_del,0.0,0.0,0.0,0.0,0.0
UFSP2,cnv_amp,0.0,0.0,0.0,0.0,0.0
UFSP2,promoter,0.0,0.0,0.0,0.0,0.0
GAP43,mut_important,0.0,0.0,0.0,0.0,0.0
GAP43,cnv_del,0.0,0.0,0.0,0.0,0.0
GAP43,cnv_amp,0.0,0.0,0.0,0.0,0.0
GAP43,promoter,0.0,0.0,0.0,0.0,0.0
NABP1,mut_important,0.0,0.0,0.0,0.0,0.0
NABP1,cnv_del,0.0,0.0,0.0,0.0,0.0
NABP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
NABP1,promoter,0.0,0.0,0.0,0.0,0.0
PAMR1,mut_important,0.0,0.0,0.0,0.0,0.0
PAMR1,cnv_del,0.0,0.0,0.0,0.0,0.0
PAMR1,cnv_amp,0.0,0.0,0.0,0.0,0.0
PAMR1,promoter,0.0,0.0,0.0,0.0,0.0
MDK,mut_important,0.0,0.0,0.0,0.0,0.0
MDK,cnv_del,0.0,0.0,0.0,0.0,0.0
MDK,cnv_amp,0.0,0.0,0.0,0.0,0.0
MDK,promoter,0.0,0.0,0.0,0.0,0.0
