,,coef
CCDC114,mut_important,0.0
CCDC114,cnv_del,0.0
CCDC114,cnv_amp,0.0
CCDC114,promoter,0.0
RLF,mut_important,0.0
RLF,cnv_del,0.0
RLF,cnv_amp,0.0
RLF,promoter,0.0
CCDC112,mut_important,0.0
CCDC112,cnv_del,0.0
CCDC112,cnv_amp,0.0
CCDC112,promoter,0.0
MCF2L,mut_important,0.0
MCF2L,cnv_del,0.0
MCF2L,cnv_amp,0.0
MCF2L,promoter,0.0
CCDC110,mut_important,0.0
CCDC110,cnv_del,0.0
CCDC110,cnv_amp,0.0
CCDC110,promoter,0.0
LEO1,mut_important,0.0
LEO1,cnv_del,0.0
LEO1,cnv_amp,0.0
LEO1,promoter,0.0
ATP1A4,mut_important,0.0
ATP1A4,cnv_del,0.0
ATP1A4,cnv_amp,-0.03614033
ATP1A4,promoter,0.0
ATP1A3,mut_important,0.0
ATP1A3,cnv_del,0.0
ATP1A3,cnv_amp,0.0
ATP1A3,promoter,0.005383164
ATP1A2,mut_important,0.0
ATP1A2,cnv_del,0.0
ATP1A2,cnv_amp,-0.17221136
ATP1A2,promoter,0.0
ATP1A1,mut_important,0.0
ATP1A1,cnv_del,0.0
ATP1A1,cnv_amp,0.00047569937
ATP1A1,promoter,1.7287832e-05
TMEM211,mut_important,0.0
TMEM211,cnv_del,0.0
TMEM211,cnv_amp,0.0
TMEM211,promoter,0.0
MGRN1,mut_important,0.0
MGRN1,cnv_del,0.0
MGRN1,cnv_amp,-2.9853602e-06
MGRN1,promoter,2.5797796e-08
CRTAP,mut_important,0.0
CRTAP,cnv_del,0.0
CRTAP,cnv_amp,0.0
CRTAP,promoter,0.0
SPHK2,mut_important,0.0
SPHK2,cnv_del,0.0
SPHK2,cnv_amp,0.0
SPHK2,promoter,-3.5387432e-06
SPHK1,mut_important,0.0
SPHK1,cnv_del,0.0
SPHK1,cnv_amp,6.309145e-05
SPHK1,promoter,-0.0007219518
DPT,mut_important,0.0
DPT,cnv_del,0.0
DPT,cnv_amp,0.0
DPT,promoter,0.0
CUEDC1,mut_important,0.0
CUEDC1,cnv_del,0.0
CUEDC1,cnv_amp,0.0
CUEDC1,promoter,0.0
CUEDC2,mut_important,0.0
CUEDC2,cnv_del,0.0
CUEDC2,cnv_amp,0.0
CUEDC2,promoter,0.0
IPO13,mut_important,0.0
IPO13,cnv_del,0.0
IPO13,cnv_amp,0.0
IPO13,promoter,0.0
CPEB4,mut_important,0.0
CPEB4,cnv_del,0.0
CPEB4,cnv_amp,-3.06797e-06
CPEB4,promoter,-3.1125162e-06
ZNF440,mut_important,0.0
ZNF440,cnv_del,0.0
ZNF440,cnv_amp,-4.6801038e-06
ZNF440,promoter,-4.9615433e-06
CPEB1,mut_important,0.0
CPEB1,cnv_del,0.0
CPEB1,cnv_amp,2.3037963e-05
CPEB1,promoter,-0.00025109394
CPEB3,mut_important,0.0
CPEB3,cnv_del,0.0
CPEB3,cnv_amp,8.77341e-05
CPEB3,promoter,-6.1989136e-05
SBSPON,mut_important,0.0
SBSPON,cnv_del,0.0
SBSPON,cnv_amp,0.0
SBSPON,promoter,0.0
BEGAIN,mut_important,0.0
BEGAIN,cnv_del,0.0
BEGAIN,cnv_amp,0.0
BEGAIN,promoter,0.0
